,loss,mae,mean_q,mean_eps,episode_reward,nb_episode_steps,nb_steps,episode,duration
71, 0, 0, 0, 0, 180.0, 575, 48387, 71, 1.193733800000004
72, 0, 0, 0, 0, 225.0, 943, 49330, 72, 1.873020000000011
73, 0, 0, 0, 0, 190.0, 798, 50128, 73, 1.6696436999999946
74, 0, 0, 0, 0, 30.0, 540, 50668, 74, 1.1043154000000044
75, 0, 0, 0, 0, 260.0, 759, 51427, 75, 1.570697999999993
76, 0, 0, 0, 0, 115.0, 526, 51953, 76, 1.104008499999992
77, 0, 0, 0, 0, 505.0, 1062, 53015, 77, 2.1304487999999964
78, 0, 0, 0, 0, 305.0, 682, 53697, 78, 1.40539840000001
79, 0, 0, 0, 0, 125.0, 581, 54278, 79, 1.2077323999999976
80, 0, 0, 0, 0, 75.0, 517, 54795, 80, 1.0763875000000098
81, 0, 0, 0, 0, 90.0, 610, 55405, 81, 1.2462653999999986
82, 0, 0, 0, 0, 65.0, 373, 55778, 82, 0.835616800000011
83, 0, 0, 0, 0, 180.0, 607, 56385, 83, 1.2675787999999955
84, 0, 0, 0, 0, 65.0, 391, 56776, 84, 0.8118939999999952
85, 0, 0, 0, 0, 125.0, 498, 57274, 85, 1.0248274999999865
86, 0, 0, 0, 0, 230.0, 998, 58272, 86, 2.0398581000000036
87, 0, 0, 0, 0, 155.0, 1036, 59308, 87, 2.1030912000000086
88, 0, 0, 0, 0, 210.0, 652, 59960, 88, 1.4127170999999805
89, 0, 0, 0, 0, 185.0, 909, 60869, 89, 1.8680115000000228
90, 0, 0, 0, 0, 60.0, 459, 61328, 90, 0.9511794000000009
91, 0, 0, 0, 0, 110.0, 543, 61871, 91, 1.128367400000002
92, 0, 0, 0, 0, 45.0, 640, 62511, 92, 1.3242963999999802
93, 0, 0, 0, 0, 185.0, 840, 63351, 93, 1.6860483000000102
94, 0, 0, 0, 0, 135.0, 531, 63882, 94, 1.1101550999999859
95, 0, 0, 0, 0, 185.0, 991, 64873, 95, 2.0876704000000075
96, 0, 0, 0, 0, 120.0, 511, 65384, 96, 1.0524528999999916
97, 0, 0, 0, 0, 75.0, 626, 66010, 97, 1.3151175000000137
98, 0, 0, 0, 0, 280.0, 969, 66979, 98, 1.9305530000000033
99, 0, 0, 0, 0, 45.0, 493, 67472, 99, 1.0345925000000022
100, 0, 0, 0, 0, 155.0, 498, 67970, 100, 1.0220140999999785
101, 0, 0, 0, 0, 135.0, 623, 68593, 101, 1.2851987999999892
102, 0, 0, 0, 0, 155.0, 666, 69259, 102, 1.376390299999997
103, 0, 0, 0, 0, 665.0, 1144, 70403, 103, 2.3383012999999835
104, 0, 0, 0, 0, 160.0, 801, 71204, 104, 1.6618636000000038
105, 0, 0, 0, 0, 50.0, 588, 71792, 105, 1.1902585999999928
106, 0, 0, 0, 0, 80.0, 568, 72360, 106, 1.1794553000000008
107, 0, 0, 0, 0, 105.0, 543, 72903, 107, 1.1921338999999875
108, 0, 0, 0, 0, 205.0, 856, 73759, 108, 1.8082517999999936
109, 0, 0, 0, 0, 135.0, 684, 74443, 109, 1.3699511000000086
110, 0, 0, 0, 0, 190.0, 820, 75263, 110, 1.6509180000000185
111, 0, 0, 0, 0, 100.0, 622, 75885, 111, 1.2533325999999931
112, 0, 0, 0, 0, 120.0, 604, 76489, 112, 1.2713462000000106
